Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
9.66667,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.75,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.83333,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.91667,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.0833,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.1667,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.25,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.3333,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.4167,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.5,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.5833,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.6667,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.75,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.8333,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
10.9167,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
