Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0833333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.333333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.416667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.583333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.666667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.75,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.833333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.916667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.08333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.16667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.33333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.41667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.58333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.66667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.75,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.83333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.91667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.08333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.16667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.33333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.41667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.58333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.66667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.75,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.83333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.91667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.08333,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.16667,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.25,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.33333,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.41667,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.5,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.58333,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.66667,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.75,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.83333,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
3.91667,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
4,164,82,82,0.0001959,0.391669,0.310301,67.5155,0.0173393,0.412033,0.188389,0.12186,0.0633908,0.00305555,6.19429e-05,0.0145883,0.00159936,4.17027e-05,0.00597603,0.000382476,0.0395505,
